replication,Flat table K0,AI typed lift Ktheta,AI plus source/availability audit Ktheta+E,Post-index source certificate Kpost,Prospective reference KP
4569,0.17764521452145215,0.3999636933120589,0.29563695758121344,0.17764521452145215,0.2895641830811685
4570,0.17433110727875828,0.4054203777846128,0.310178541011709,0.17433110727875828,0.32147533167495856
4571,0.1676856388117257,0.3718371456544579,0.25630301368546454,0.1676856388117257,0.25534505934505936
4572,0.13686180840163925,0.35101230925104393,0.2513010016988093,0.13686180840163925,0.23882692657619348
4573,0.14119219691908913,0.3618279165928042,0.2682714393474302,0.14119219691908913,0.32027875666395583
4574,0.17435599078341008,0.41974686712584314,0.33978175268486605,0.17435599078341008,0.28238266283524904
4575,0.14231966809563273,0.3565973581453823,0.2585553800994992,0.14231966809563273,0.2702392658144871
4576,0.1881001376022017,0.441258424875707,0.3653165745470106,0.1881001376022017,0.13848799175463905
4577,0.142462796279628,0.3151189132818953,0.17431223400453463,0.142462796279628,0.1630438851104308
4578,0.12597147954367272,0.3344885378878952,0.23403411668844493,0.12597147954367272,0.23436543679695948
4579,0.11047569223504183,0.2982987181254512,0.1846460517808188,0.11047569223504183,0.2375039223144032
4580,0.11126043706524753,0.3007559859077623,0.18899109768502967,0.11126043706524753,0.15155259353291722
4581,0.12493019829960195,0.3361731822572882,0.23548596791537246,0.12493019829960195,0.18738856331048243
4582,0.19343811381487325,0.42205855538624015,0.32324088314273375,0.19343811381487325,0.3349648215164079
4583,0.14376218248991218,0.33640988640571995,0.2122954078316155,0.14376218248991218,0.33796251050221393
4584,0.16241660363615992,0.3613304767322711,0.24082774619222236,0.16241660363615992,0.2652525318182547
4585,0.1354078874175101,0.32965001226004637,0.21348424968507254,0.1354078874175101,0.2920648246337535
4586,0.14030458786065195,0.34183654755969867,0.23106391939809345,0.14030458786065195,0.19455114379084967
4587,0.12705547198796627,0.33151407385664794,0.22591720373736332,0.12705547198796627,0.19545240245220896
4588,0.13338218821882192,0.3223938544572823,0.20102333247692078,0.13338218821882192,0.32754079822583937
4589,0.12848799412120412,0.3319459111863583,0.22791583413030841,0.12848799412120412,0.14519875357793388
4590,0.11005325140809016,0.3091952900743548,0.20428407733252926,0.11005325140809016,0.2265716602174314
4591,0.1356435782972527,0.33845130204187324,0.22961544748924106,0.1356435782972527,0.30526710838129323
4592,0.13468619786976,0.33889293490645656,0.2334134740733932,0.13468619786976,0.28007346656611365
4593,0.15274364701926313,0.3887675221683139,0.30904775029810155,0.15274364701926313,0.16363869556369556
4594,0.13815612362045043,0.34673552615257686,0.2421588050642529,0.13815612362045043,0.261787152116256
4595,0.16242358897130682,0.40076581119352905,0.32068444444444444,0.16242358897130682,0.1527798554915636
4596,0.17082588597842827,0.39092174474775765,0.2831917175386588,0.17082588597842827,0.31530129842486165
